Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Altitude,ECI-x,ECI-y,ECI-z
2024,8,6,0,2,1.999981999,-39.81256375,95.47783385,661536.3523,3418820.498,4189339.983,-4493919.049
2024,8,6,0,2,3.000016809,-39.77907761,95.54003533,661486.2251,3415609.498,4195315.555,-4490725.819
2024,8,6,0,2,4.000011384,-39.74555301,95.60217355,661436.0208,3412394.587,4201286.323,-4487527.433
2024,8,6,0,2,5.00000596,-39.71199003,95.66424841,661385.7396,3409175.768,4207252.279,-4484323.893
2024,8,6,0,2,6.000000536,-39.67838875,95.72625997,661335.3816,3405953.044,4213213.417,-4481115.204
2024,8,6,0,2,6.999995112,-39.64474925,95.7882083,661284.9468,3402726.42,4219169.728,-4477901.369
2024,8,6,0,2,7.999989688,-39.6110716,95.85009346,661234.4353,3399495.898,4225121.208,-4474682.392
2024,8,6,0,2,8.999984264,-39.57735589,95.91191552,661183.8473,3396261.483,4231067.848,-4471458.276
2024,8,6,0,2,10.00001907,-39.54360219,95.97367438,661133.1828,3393023.178,4237009.641,-4468229.025
2024,8,6,0,2,11.00001365,-39.50981058,96.03537044,661082.4419,3389780.986,4242946.582,-4464994.642
2024,8,6,0,2,12.00000823,-39.47598114,96.09700359,661031.6247,3386534.912,4248878.662,-4461755.131
2024,8,6,0,2,13.0000028,-39.44211395,96.15857392,660980.7313,3383284.958,4254805.875,-4458510.496
2024,8,6,0,2,13.99999738,-39.40820908,96.22008148,660929.7618,3380031.13,4260728.215,-4455260.74
2024,8,6,0,2,14.99999195,-39.37426661,96.28152635,660878.7162,3376773.429,4266645.673,-4452005.868
2024,8,6,0,2,15.99998653,-39.34028662,96.34290858,660827.5948,3373511.86,4272558.244,-4448745.881
2024,8,6,0,2,16.99998111,-39.30626919,96.40422825,660776.3975,3370246.427,4278465.921,-4445480.785
2024,8,6,0,2,18.00001591,-39.2722144,96.46548526,660725.1245,3366977.133,4284368.696,-4442210.583
2024,8,6,0,2,19.00001049,-39.23812231,96.52668001,660673.7759,3363703.982,4290266.562,-4438935.279
2024,8,6,0,2,20.00000507,-39.20399301,96.58781241,660622.3517,3360426.978,4296159.514,-4435654.875
2024,8,6,0,2,20.99999964,-39.16982658,96.64888252,660570.8521,3357146.123,4302047.544,-4432369.376
2024,8,6,0,2,21.99999422,-39.1356231,96.70989042,660519.2771,3353861.423,4307930.645,-4429078.786
2024,8,6,0,2,22.99998879,-39.10138263,96.77083616,660467.6269,3350572.88,4313808.81,-4425783.108
2024,8,6,0,2,23.99998337,-39.06710525,96.83171983,660415.9014,3347280.499,4319682.033,-4422482.346
2024,8,6,0,2,25.00001818,-39.03279105,96.89254132,660364.1009,3343984.282,4325550.306,-4419176.503
2024,8,6,0,2,26.00001276,-38.9984401,96.95330105,660312.2255,3340684.234,4331413.623,-4415865.584
2024,8,6,0,2,27.00000733,-38.96405248,97.0139989,660260.2751,3337380.359,4337271.978,-4412549.591
2024,8,6,0,2,28.00000191,-38.92962825,97.07463496,660208.2499,3334072.659,4343125.362,-4409228.53
2024,8,6,0,2,28.99999648,-38.8951675,97.13520929,660156.1501,3330761.14,4348973.77,-4405902.402
2024,8,6,0,2,29.99999106,-38.86067031,97.19572197,660103.9756,3327445.804,4354817.195,-4402571.213
2024,8,6,0,2,30.99998564,-38.82613674,97.25617307,660051.7267,3324126.655,4360655.629,-4399234.965
2024,8,6,0,2,31.99998021,-38.79156688,97.31656266,659999.4033,3320803.697,4366489.066,-4395893.663
2024,8,6,0,2,33.00001502,-38.7569608,97.37689064,659947.0056,3317476.933,4372317.5,-4392547.31
2024,8,6,0,2,34.0000096,-38.72231858,97.43715741,659894.5337,3314146.368,4378140.923,-4389195.91
2024,8,6,0,2,35.00000417,-38.68764028,97.4973629,659841.9877,3310812.006,4383959.329,-4385839.467
2024,8,6,0,2,35.99999875,-38.652926,97.55750716,659789.3677,3307473.849,4389772.711,-4382477.984
2024,8,6,0,2,36.99999332,-38.61817579,97.61759027,659736.6737,3304131.901,4395581.061,-4379111.466
2024,8,6,0,2,37.9999879,-38.58338974,97.6776123,659683.9059,3300786.167,4401384.375,-4375739.915
